question	answer
大众朗逸2019款 朗逸启航 1.5L 手动风尚版 国VI内饰	内饰这一块毕竟是10万以内的小家轿也不能有太高的要求，没有中控屏前台主要是以黑色和银色的亮条搭配的，针织的座椅做工比较精细，整体设计说不上漂亮还算耐看。
大众朗逸2019款 朗逸启航 1.5L 手动风尚版 国VI操控表现	在车子的整体驾驶中所给我感受就是车子的稳定性不错，不用担心跑高速或者路况较差的道路时车子不稳当或者发飘的情况，其次呢转向系统操控起来比较灵活不笨重，平时出行的时候开着油门刹车反响应也都比较快。
大众朗逸2019款 朗逸启航 1.5L 手动风尚版 国VI油耗表现	油耗的话我平时上下班的话在6.7个左右，如果路况比较拥堵走走停停的话在7.5个左右再者天气较热开空调的话油耗在8.5个左右。平时匀速行驶再者跑高速的话在5.5个左右。
大众朗逸2019款 朗逸启航 1.5L 手动风尚版 国VI动力表现	动力上车子是1.5L自然吸气的发动车提速不是太快但是足够我平时的使用了，在日常上下班的时候因为都是一些城市道路也都比较拥堵所以在动力上没什么太高的要求，但是平时外出跑高速或者要超车的时候有显的有些力不从心了。
大众朗逸2019款 朗逸启航 1.5L 手动风尚版 国VI空间感受	空间上平时带父母和孩子出去游玩，我身高175体重140坐在前排空间比较宽敞同时也可以跟自己对空间的需求进行调节，父母和孩子坐在后排刚好可以乘下三个身材匀称的人腿部空间也比较宽敞，其次是后备箱可以放进去两个后备箱和俩大一些收纳箱。
大众朗逸2019款 朗逸启航 1.5L 手动风尚版 国VI智能配置	
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版售价	14.38万
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版优点	"买车感觉外观一般，但是后面看多几次，是那种耐看型，最中意油耗，工信部给的数据从来不敢信，没想到在她身上实现了，4.0的油耗，有时还开出了比工信部公布的更低才3.6L/100KM,真是吃的少干的多，耐用耐造容易养活的一款车。目前已经有小3万多，技术不好的小剐小蹭，其它一点毛病都没有。"
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版缺点	动力对于90后追求刺激来讲稍微有点逊色，不过家用车又不冲赛道也没啥
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版外观	沿袭了丰田家族式设计，大气的进气格栅进行熏黑的处理，体现下部优先的视觉感。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版舒适度	空调值得一提的是配备了PM2.5空气过滤，还是可以净化一些空气对人的伤害也会减少。底盘前后是独立的悬架，坐在上面抖动型比较少，座椅是结合人体工程学设计的，久坐不累，包裹性也还可以。就是有点可惜不是皮的
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版性价比	保养成本很比销售介绍的时候说一次基础保养大概就400左右还是换的比较好的全合成机油，而且是一万公里才保养一次。加92的油，现在92和95都是7元时代，省油的车还是省钱哦，日积月累，也是一笔不小的开支。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版内饰	中控做的很平整加上用料都是软包，出于安全和美观考虑还是非常不错的
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版操控表现	方向盘是电子助力很轻也很智能，在低速时是轻快的，高速会变重，速度快急打方向是会发生很严重不可逆的；所以很人性化。TNGA这个全新的生产平台，都配备有ACA助力转向，当转向不足或转向过度会智能的帮我们调节左右前后轮的轮速差避免转向出现的事故。刹车也很灵敏容易掌握踩的力度。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版油耗表现	油耗极低，开出了4.0L每100KM的油耗，一箱油可以轻松行驶800公里，少去加油站省事又省钱。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版动力表现	选择的1.8L混合动力，功率不算电机有72KW，扭矩达到142N.m综合功率有90KW动力输出还可以，换挡提速也比较线性流畅
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版空间感受	这个车有4635M长A级车这个级别算是中规中矩，不过轴距有2700还可以，最值得一提是后排地板中间凸起不高，第三个人乘坐不用尴尬的把腿放2边了，还有储物空间也比较多，可以放些小物品告别杂乱无章。有时我会去周边旅游，所以非常在意后备箱空间，有500多L的容积满足了我出行需要
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版智能配置	
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI售价	11.29万
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI优点	最满意的地方应该是驾驶感受，大众车的底盘是真的很稳，隔音做的也很好，关车门的时候声音很厚重，砰砰的。之前本来想买桑塔纳的 ，关注了很久，也去看了车，觉得配置太低了，别的都能接受，就是音响喇叭才2个，本人喜欢听音乐，所以帕斯掉了。宝来也看了，因为单位同事有一辆，驾驶感受不如朗逸，提速和隔音也没有朗逸好，本人开过很多车所以对每一辆车的车况都会去感受一下。本人对日系车不太敏感，对cvt变速箱不感兴趣所以也没有去看，因为单位的车就是。cvt干加油不走道，特别是高速上，超车时让你怀疑人生。买这车之前顶账了一辆手动挡新捷达，开了一段时间，上趟长春觉得加速时候太肉了，超车时候太慢，所以卖了。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI缺点	目前开了600多公里没有什么不满意的，非要说不满意那就是4s店太小气了就送了一个贴膜和底盘装甲，脚垫都是自己定制的花了我400块，主要是价位在这呢。没有多功能方向盘，自己花钱缝了一个把套感觉还行，等首保过了买个多功能方向盘和大屏导航。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI外观	外观方面可圈可点看个人喜好了，本人觉得挺好看的，40多岁的人开感觉很好一点也不掉链子。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI舒适度	现在大众做的可以了，座椅坐着很舒服，车内也没什么噪音 ，除非你特意去感受，车就是代步工具，风吹不到雨淋不到就可以了。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI性价比	个人觉得车的价格没问题，在同级别里面是没的说。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI内饰	车内也没什么异味，音响效果也不错
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI操控表现	那是没的说，毕竟3大件在这摆着呢。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI油耗表现	高速跑到过5.9，市区现在显示10多个，上下班来回才5公里左右，毕竟现在才跑了600多，用一段时间再来评价。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI动力表现	动力方面够用，毕竟1.5的排量在这摆着，家用是一点都没问题，要想速度一脚油门下去，只有肉人没有肉车，1.0的夏利本人都开过140，1.3的干过160，现在哪哪都是限速，给你个V8你也不敢超速，所以说够用就可以了。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI空间感受	空间那是没的说，本人178座椅调到最舒服的位置，后面在坐人也没问题，本人开车喜欢半躺着开，特别是跑高速时候，开单位的奇骏同事坐后面都闲不得劲，没办法谁让咱开车了，坐车的就得受着。咱这车没问题。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI智能配置	
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版售价	14.38万
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版优点	卡罗拉是出了名的皮试，天津的出租车都是卡罗拉，我师傅的一个朋友也是开出租的，14年的卡罗拉开了38万公里就换过机油，防冻液，刹车片和轮胎，其他什么都没坏过，全程基础小保养。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版缺点	本地车太横车确实是好车，唯一有点郁闷的是满大街都是这个车呀，天津的出租车呀，遍地都是堵车的时候基本上看着都是牛头标的，就是感觉这个车实在是太受欢迎了，有点烂大街的感觉，尴尬尴尬。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版外观	前脸设计相当独特，以柔和的线条勾勒出很有科技感的时尚感，也为该车增添了不少运动气息，镀铬装饰条显出高级感。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版舒适度	前门有无钥匙进入功能，手伸进门把手以后就可以解锁，上锁的话也只需要轻触门把手的感应区，非常方便。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版性价比	这个车子的配置比较亮眼有自适应巡航，胎压显示，主动刹车，主动安全系统，车道保持系统，气囊等。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版内饰	以黑色为主调的内饰简洁时尚，运用了银色饰条，给内饰增添了几分时尚气息，中控台被软性材料包裹看起来有高级感，仪表盘看起来比较简洁，信息显示比较清晰，仪表盘配有4.2英寸的行车电脑显示屏，基本参数信息都能显示完全。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版操控表现	
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版油耗表现	发动机和电动机分工明确，电动机力气大，负责起步巡航的时候发动机就会更省油，有必要的时候两股劲儿一块使我感觉市区拥堵路段更省油，市区最低3.8，高速4.5，感觉还可以吧，主要也是图个保值省心。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版动力表现	车子的加速反馈是非常优良的，一踩油门立马到，有电机的辅助加速非常直接。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版空间感受	前排的空间比较富裕，而且座椅可以调节，所以基本上正常体型的人坐是没有什么问题，后排就更不用说了，因为用这个车跑出租跑网约车的人很多，主要是用来拉个乘客，后排空间是贼拉的宽敞，拉三个人一点问题没有。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版智能配置	
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版售价	14.38万
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版优点	行驶品质超载，车内噪音更是特别的小，另外超低的油耗，让其他的同事都很羡慕。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版缺点	这个车子各方面都挺好的，唯一不好的地方就是走到哪里都能看到同款，简直是满大街的卡罗拉呀，有的时候穿同一件衣服撞衫感觉很尴尬，这个车子撞脸的话也会感觉有点尴尬，但是也有点儿小小的自豪感，说明卡罗拉口碑好。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版外观	时尚动感的外观，车体宽重心低，车子侧身的腰线分上下两个，它们完美的结合在一起，使车子的侧身更加的修长和舒展。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版舒适度	虽然不多以看起来不是那么的高档，舒适度真的还是挺高的，他的包裹性也好软硬度也好，我认为真的都是比较合适的，所以说呢，从人体工程学上，前排座椅的舒适度，我会给一个相对而言比较高的分。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版性价比	尤浩很低，用车成本不高，而保养成本又低，最最重要的是卡罗拉双擎保值率高，二手车市场上10分抢手，所以这台车妥妥的是一款很棒的理财产品，也真的是找不出太多的理由说他的性价比低呢，我个人使用了那么长时间对这款车子的评价和印象都是特别不错的。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版内饰	内饰比我叔叔的老花冠时尚很多，仪表台也比较炫。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版操控表现	
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版油耗表现	尤浩拿捏的死死的，百公里油耗差不多5个油左右，一箱油能跑大概。900公里呢，雨天的时候稍高一点儿，大概在5.3个左右吧，车子省油的关键是回收汽车浪费的动能，例如刹车减速的时候来给电池充电。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版动力表现	车辆起步的时候，电动机工作正常行驶的时候，发动机为主要，动力源有两套，动力系统其中一套是常规的发动机产生动力，另一套是由电池组产生动力，电池充满电以后能续航里程挺高的，如果电池亏电了，发动机启动给电池充电，双擎的优势就是可以用发动机来驱动车辆行驶，在拉东西比较多的时候发动机和电动机共同使劲儿。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版空间感受	空间够用，虽然不算特别大，但是坐到车里很快就能找到一个适合自己的位置，算恰到好处吧。
丰田卡罗拉2021款 双擎 1.8L E-CVT精英版智能配置	
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版售价	12.88万
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版优点	我非常喜欢卡罗拉的操控，我感觉这台车操控的感觉很好，尤其是方向盘，我用起来一点都不陌生，就仿佛我中有它，它中有我一样。还有它的智能行车系统，跑高速的时候打开自动巡航，再打开车道巡迹功能，手扶着方向盘就可以了。以前我非常讨厌跑长途，自从有了卡罗拉的这些功能，我觉得跑高速也就这么简单。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版缺点	空间稍微小了点，最主要是主驾驶的头部空间不足。（我身高178，体重180斤）
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版外观	外观比较看中，设计的挺符合我的审美，说白了就是王八看绿豆，对眼了。车身做工挺高，钣金挺重的，关门没有摔铁皮字的感觉。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版舒适度	座椅舒服，海绵柔软，支撑性也不错的，尤其是主副驾驶的座椅造型，对身体的包裹性比较强。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版性价比	十几万的家庭轿车，配置高一点的，省油一些的，皮实耐用的，无非是那么几台车，而卡罗拉就在其中。我这次选择了卡罗拉，我没有看走眼，也绝非是三分钟的热度。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版内饰	内饰做工比较精细，整体布局挺上档次的。内饰用料属于上乘，车内没有异味。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版操控表现	操控挺好，这台车的方向盘操控挺有感觉，刹车表现比较到位，油门轻时间长了不累
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版油耗表现	在市区拥堵的情况下油耗会稍微高一些8.5L左右，跑高速油耗挺低的5.5L左右。油耗最省的时候就是时速70匀速行驶。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版动力表现	动力反省灵敏，动力随叫随到，最主要的一点就是无论是低速还是高速，没有一点顿挫感，相当的平顺。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版空间感受	除了主驾驶头部空间稍微有点低以外，其他的空间都没啥问题。后排空间充足，后备箱的空间也足够用。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版智能配置	
丰田卡罗拉2021款 TNGA 1.5L CVT精英版售价	12.78万
丰田卡罗拉2021款 TNGA 1.5L CVT精英版优点	比想象中优惠力度大，驾驶起来方向盘轻，空间代步够用，全部下来12.5，这车之前口碑好，好多出租车就是卡罗拉，家庭代步
丰田卡罗拉2021款 TNGA 1.5L CVT精英版缺点	"车身后杠颜色和叶子板色差明显，脚踏板塑料件和车身也有色差，新车味道大，4S店可选颜色少，没有马自达昂克赛拉外观时尚，轮胎是195的作为紧凑型有点窄了，紧凑型其他品牌车轮至少205呢，
精装版后排无空调出风口，布艺座椅还得另外花钱包座椅，
然后就是价格，全款买的车，但是4S店要求必须在他们店买包险，保险将近四千五共付了7500左右，额外多付了三千多不知道到哪里去了，
三缸机挂前进档时存在发动机抖动声音大的情况，不过既然选择了就接受它的不足之处！"
丰田卡罗拉2021款 TNGA 1.5L CVT精英版外观	外观设计比较佛系，没有昂克赛拉时尚
丰田卡罗拉2021款 TNGA 1.5L CVT精英版舒适度	舒适度还可以，无后排出风口比较不爽，后排座椅不能放倒也不好
丰田卡罗拉2021款 TNGA 1.5L CVT精英版性价比	"价格比想象中便宜，，但是保险第一年在店里买老贵了，还额外多收了三千多不知道什么费！这就是所谓收费不够明！
不过好歹裸车优惠的多，要是他不赚钱也不会给你优惠，"
丰田卡罗拉2021款 TNGA 1.5L CVT精英版内饰	布艺座椅，显得档次很低，不过比起之前的，钢轮毂，布座椅，内饰塑料多已经好点了
丰田卡罗拉2021款 TNGA 1.5L CVT精英版操控表现	操控性还行，方向盘很轻，其他功能还没用过
丰田卡罗拉2021款 TNGA 1.5L CVT精英版油耗表现	市里堵车多油耗还是挺大的有8.5左右
丰田卡罗拉2021款 TNGA 1.5L CVT精英版动力表现	1.5自吸三缸机，代步动力够用，不要去和涡轮增压的比动力，只能说够用
丰田卡罗拉2021款 TNGA 1.5L CVT精英版空间感受	作为紧凑车型空间够用，车身有点低了，后备箱容积也不小
丰田卡罗拉2021款 TNGA 1.5L CVT精英版智能配置	
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版售价	12.88万
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版优点	卡罗拉让我最满意的是高速的稳定性和低速的油耗。我曾经也开过卡罗拉，那是老款的，说实话除了耐用，其它什么操控底盘真的很差，以至于这款新卡罗拉我也是研究很久，试驾多次，后来才做好决定的。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版缺点	"最不满意的应该算是这个车子的内饰,其实全车感觉来说整个车子的性价比仍是相对高的,可是它的内饰确实是挺不上档次的,有点简便,其实太过于简单,"
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版外观	新款卡罗拉感觉不如老款大，但是我觉得这是走了时尚范，有点模仿高尔夫了精致。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版舒适度	你还别说，这个新款卡罗拉的隔音效果比老款好太多了，而且我看在轮胎上也下了功夫，这一点还是比较好的，而且涡轮配cvt还挺适合我的。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版性价比	尽管卡罗拉有很多不足的地方，但是省油耐用，保养便宜是征得我心的，所以性价比的大方向我是比较满意的。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版内饰	我最开始看的是最低配，但是那三个按钮直接把我征服了，虽然高一个配置，但质感没变，我觉得下一代这个内饰一定会提升很大。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版操控表现	"控制方面手感什么的都仍是很不错的,方向盘转向也很精准,也十分灵敏,档位的话加减档的时候也是比较轻松,基本上开个几百公里什么的也不会觉得累，关键有这套巡航定速能减少疲惫感和紧张感。"
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版油耗表现	"油耗的话,其实最高的时候我是上到了8点多,后边由于回了一趟乡间,由于路上没什么人,可能跑到偏快一些吧,感觉就这样下来了,大概便是现在在7点4左右的。"
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版动力表现	"动力这一块仍是十分不错的,响应的也很敏捷,基本上给油就走,而且涡轮增压的比自然吸气的仍是要好一些吧。当初幸亏没买自然吸气，还是觉得涡轮动力更好一些。"
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版空间感受	"车子的空间规划是十分合理的,比较人性化。由于驾驶室这一块来说,前面的方向盘以及脚底下都是比较宽敞,不那么拘束,然后第二排乘坐空间的话也是十分充足,可是后排的地台呢是有一点凸 起的。如果坐三个人的时分,中心这个人就有一点不太好放脚。"
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版智能配置	
丰田卡罗拉2021款 1.2T S-CVT 豪华版售价	13.58万
丰田卡罗拉2021款 1.2T S-CVT 豪华版优点	考出驾照很多年了，但一直没怎么开车，今年由于工作变动，我得经常来回县区，因为我是做金融服务行业的，然后决定买了这辆车，很容易上手，没有几天就彻底的熟悉过来，开起来没有超出来我的预期，也没有令我失望，给我的感觉就是恰恰好。
丰田卡罗拉2021款 1.2T S-CVT 豪华版缺点	车辆行驶的过程中噪音有点大，速度提升到50迈以上的时候，感觉车辆的隔音效果还需要加强，在小区内过减速带的时候，后轮的动静比较大。
丰田卡罗拉2021款 1.2T S-CVT 豪华版外观	这一代的卡罗拉车身线条设计比上一代上了一个档次，美中不足的是车身的车漆感觉比较薄，可以看到我的车的左前脸已经被刮花了，是上一次拜访客户从车位上出来被人刮了。
丰田卡罗拉2021款 1.2T S-CVT 豪华版舒适度	座椅完全OK挺舒服，车辆后排也有空调出风口，但是呢隔音有待提高，特别是速度上来之后。
丰田卡罗拉2021款 1.2T S-CVT 豪华版性价比	"骑车的时候裸车价是119,500，分期ssss店需要收金融服务费，还是全款买的，最后送了防爆膜还有尾箱垫，买车的时候额外花了900块钱买了4次保养。"
丰田卡罗拉2021款 1.2T S-CVT 豪华版内饰	卡罗拉这个版本的科技配置还算可以，像手机映射，大屏导航这些都有。
丰田卡罗拉2021款 1.2T S-CVT 豪华版操控表现	方向盘挺轻，比较容易掌握，刹车油门比较灵敏，只要轻踩刹车，车辆就会立即有刹车感。
丰田卡罗拉2021款 1.2T S-CVT 豪华版油耗表现	目前我的车辆行驶了3000多公里，综合油耗在7.1升/每百公里。我的购车时间是在8月初，正好到目前为止，正好经历过一个夏天正常使用的时候一直开着空调
丰田卡罗拉2021款 1.2T S-CVT 豪华版动力表现	"卡罗拉属于a级紧凑型车，主要针对的就是普通家庭用车,车的动力比较平稳，市区开的动力刚刚好，不多于不浪费，在高速上100㎞/h以上之后加速，感觉有点后劲不足。"
丰田卡罗拉2021款 1.2T S-CVT 豪华版空间感受	平时车辆的使用范围就是我的上下班和去区县采访客户，偶尔和朋友出去玩，大部分的时间就我一个人。我身高1米74，也只占用前排空间，后排空间很少有人坐，但是空间绝对充裕。
丰田卡罗拉2021款 1.2T S-CVT 豪华版智能配置	
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版售价	12.88万
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版优点	"最满意的地方在于它的油耗和操作性。
首先是油耗，对于跑绕城高速或者不是太堵的路段，真心友好，而且现在油价这么高，的确是一笔不小的支出，针对每个月用车频率比较好的情况的话。
并且这车的颜值也不错，说实话它不丑，你要说非常好看非常美，那应该也达不到这个要求。
毕竟它价位和本身这么多年的样子，哈哈哈，太难了。销售郭总给安装了皮坐椅，倒车影像，全车雷达，脚垫，行车记录仪以及几年的保养。最重要的是郭总服务态度，真心给力没话说，有不懂得随时咨询！我也看了好多家4s店，必须好评！
同时它的操作性也比较简单，灯光和后视镜加热功能等等，以及后视镜可以在车内电动调节真心不错。也没那么多花里胡哨功能�一眼能看明白就好的很。尤其是后视镜加热功能，下雨天在高速上真心有用，而且是夜里，能够看到后方开车的距离，对新手而言很友好。
建议，前500公里速度不要太快，我都控制在80以内。"
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版缺点	"有以下几点不太满意
1.高速上80km/h后加速就比较慢，不过也能理解，加速太快也不好。毕竟我也不是大脚给油的人�
2.低速度条件下加速会有抖动，能明显感觉到，感觉是很多车通病，并且胎噪和隔音也不是特别好。
3.车载大屏居然不能下载软件，自带的系统，完全就很鸡肋了，地图也不太准，音乐还需要联网，没有相关生态系统，这一点很难受，只能用手机导航。
4.停车后视镜自动收拢功能没有，这一点有时候又挺关键，有时候又不，所以不是特别期待
5.最难受的是后玻璃居然没有雨刷！！！还得去擦灰尘！
6.卤素灯真的暗，没跟销售谈下来，后面车友们可以照着自己喜欢的和想要的去谈，尽量一次搞定。"
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版外观	直接来图吧，也不是特别丑哈哈哈，这颜值，我能接受
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版舒适度	还可以，副驾驶不是很舒服，主驾驶和后面没太大感觉。说实话销售也很给力，稳服务态度又好，当时试驾感觉车也可以。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版性价比	第一辆车，真的可以了。除了自己喜欢的功能缺少一些，其他的都可以接受。毕竟价格在这边，动力也还可以。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版内饰	皮坐垫，全包围脚垫，就是味道有点大，大屏很鸡肋，建议买一个方向盘套，我是自己买的，买喜欢的，不然没手感。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版操控表现	简单易操控，灯光和空调以及各种其他辅助，都很清晰。不建议开hold，等红绿灯起步有点迟缓，说实话我不太敢用hold，毕竟是仪器，还不如踩着刹车靠谱�。定速巡航的话长时间不建议开，车道偏离系统很给力，不在车道内，会发出提醒警报声。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版油耗表现	拥堵可能在6左右，不堵在高速上开过4.4。磨合好了可能就稳定了。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版动力表现	给油快，低速度有点怠速，80以上升速慢，不建议大脚踩油门。上坡的话有点吃力，毕竟是自动挡的车。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版空间感受	我感觉副驾驶坐着挺难受的，其他都还好，毕竟是紧凑型的，总不能要求和大别墅的空间一样吧
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版智能配置	
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版售价	12.88万
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版优点	"我是2021年6月买的丰田卡罗拉的车子，买了用途为了平时代步，方便接送小孩兴趣班用。驾照拿到好几年一直都是老公当司机，由于老公工作忙，又摇到了浙A车牌，所以买辆适合新手、小巧、耐用能遮风挡雨的车子就迫在眉睫了，刚需了！
5月份摇到的车牌，，去家附近4s店都走一走看了速腾，速腾销售对我爱理不理，加上只优惠800本着多跑几家不吃亏，速腾纳入预选清单。
第二家去了一汽丰田，白色卡罗拉车子比较小巧一点，价格14个就能落地，外观一般，内饰真是无力吐槽。娘娘我腿跑累了，里面歇息下再到别处逛逛。
回家之后家庭对于买那辆车讨论来，讨论去始终没有个明确答复，陆陆续续又到4S店逛了几次，4S店给我的报价也越来越底，都挑花了眼�，陆陆续续到其它4S店看车。价格越看越高，路也越跑越远，最后在雷凌和卡罗拉之间选一辆，从外形，内饰到保养等等，此处省略一万字。女人都有选择困难症吗？我也懒得看了，朋友，亲戚给我的用车体验都不一样，买辆车怎么就这么难，没有一辆车是完全满意的。太难了！
6月底老公跟我讲车子买好了，卡罗拉。怎么不跟我商量下！也不问问我喜不喜欢！这个人！！！！定金能不能退？？？当得到的回复是车子在我名下，首付8万5他出，月供1900他付，也行，便宜不占白不占，哈哈！
车子买来4个多月跑了900多公里，中间油漆也挂了两次，心疼的。车子越开越远，技术越来越好，自己当司机都不晕车的。
卡罗拉自己代步是没问题的，反正都是D档走天下，只要会踩刹车就行。侧方和倒车入库水平有待提高，开车走直线没问题了。兴趣班接送和下雨天才知道有小卡陪伴真的很好，附近陪小孩子钓钓鱼，看个花什么的方便。小卡油耗平均13个多，就那样了，只要我上路，一律40码以下，全程靠右行驶，我的耳朵听不到喇叭声和看不到双闪灯，别催我，再捶我我就要摇车窗，把头探出窗外了�！关于内饰，车子大部分时间都是我和闺女坐也无所谓空间了，谁让我是小个子了，塑料就塑料吧，高速还没有跑过，因为我不敢开快。等我技术练好了，我会去买辆好点的车，毕竟卡罗拉磕磕碰碰也没那么心疼。车子买了了，才知道自己车子的好处，努力赚钱吧，等我生了二娃估计还会买个丰田的suv开开，听说女人开很霸气！到时候我也是老司机了，钱赚够了，我可能一赌气就318走一走！"
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版缺点	内饰真的一般！车里面满满的塑料感，特别是开了c级车之后，对比更加明显！
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版外观	外观小小的，适合新手，维修保养便宜，不需要操心。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版舒适度	车子说的有tnga架构。我市区道路和乡村颠簸路都试过了，后排同事觉得还好，坐我车很少晕车，被我吓的！！！
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版性价比	
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版内饰	我自己包了真皮沙发，加了雷达。基本还是满意的，毕竟一分价钱一分货。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版操控表现	说到操控不得不说这车的主动刹车，有几次这功能为我避免了小事故，其它的话，给油就走。在30时速的时候有点点顿挫，其它还不错。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版油耗表现	丰田一如既往的省油，平顺。听说自然吸气的更省油。听说跑一段时间后会特别的省油，真不知道6.7个油的老司机是怎么跑出来的！
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版动力表现	1.2t的动力够用，车子坐满五人，地下室上来动力还是够用的，就是起步的时候有点点顿挫，送送油门再踩深一点基本动力就来了。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版空间感受	车子其实大部分时间都是一个人陪着他，后排坐满的时候挺少的。后备箱够用的，有啥当后备箱的。
丰田卡罗拉2021款 1.2T S-CVT精英PLUS版智能配置	
红旗红旗HS52022款 改款 2.0T 智联旗享四驱版售价	21.38万
红旗红旗HS52022款 改款 2.0T 智联旗享四驱版优点	最满意，肯定是外观和动力，加上红旗品牌，毕竟是国货之光。上一辆车是昂克赛拉，动力太弱空间太小，异响太多所以才换车的，配置拉满确实6，主动刹车好评，启动过两次，太吓人了
