page_content,metadata
时尚动感的外观，车体宽重心低，车子侧身的腰线分上下两个，它们完美的结合在一起，使车子的侧身更加的修长和舒展。,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 双擎 1.8L E-CVT精英版"",""price"":""14.38万"",""rating"":""外观""}"
我非常喜欢卡罗拉的操控，我感觉这台车操控的感觉很好，尤其是方向盘，我用起来一点都不陌生，就仿佛我中有它，它中有我一样。还有它的智能行车系统，跑高速的时候打开自动巡航，再打开车道巡迹功能，手扶着方向盘就可以了。以前我非常讨厌跑长途，自从有了卡罗拉的这些功能，我觉得跑高速也就这么简单。,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT精英PLUS版"",""price"":""12.88万"",""rating"":""优点""}"
空间稍微小了点，最主要是主驾驶的头部空间不足。（我身高178，体重180斤）,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT精英PLUS版"",""price"":""12.88万"",""rating"":""缺点""}"
外观比较看中，设计的挺符合我的审美，说白了就是王八看绿豆，对眼了。车身做工挺高，钣金挺重的，关门没有摔铁皮字的感觉。,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT精英PLUS版"",""price"":""12.88万"",""rating"":""外观""}"
比想象中优惠力度大，驾驶起来方向盘轻，空间代步够用，全部下来12.5，这车之前口碑好，好多出租车就是卡罗拉，家庭代步,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 TNGA 1.5L CVT精英版"",""price"":""12.78万"",""rating"":""优点""}"
外观设计比较佛系，没有昂克赛拉时尚,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 TNGA 1.5L CVT精英版"",""price"":""12.78万"",""rating"":""外观""}"
卡罗拉让我最满意的是高速的稳定性和低速的油耗。我曾经也开过卡罗拉，那是老款的，说实话除了耐用，其它什么操控底盘真的很差，以至于这款新卡罗拉我也是研究很久，试驾多次，后来才做好决定的。,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT精英PLUS版"",""price"":""12.88万"",""rating"":""优点""}"
"最不满意的应该算是这个车子的内饰,其实全车感觉来说整个车子的性价比仍是相对高的,可是它的内饰确实是挺不上档次的,有点简便,其实太过于简单,","{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT精英PLUS版"",""price"":""12.88万"",""rating"":""缺点""}"
新款卡罗拉感觉不如老款大，但是我觉得这是走了时尚范，有点模仿高尔夫了精致。,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT精英PLUS版"",""price"":""12.88万"",""rating"":""外观""}"
考出驾照很多年了，但一直没怎么开车，今年由于工作变动，我得经常来回县区，因为我是做金融服务行业的，然后决定买了这辆车，很容易上手，没有几天就彻底的熟悉过来，开起来没有超出来我的预期，也没有令我失望，给我的感觉就是恰恰好。,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT 豪华版"",""price"":""13.58万"",""rating"":""优点""}"
车辆行驶的过程中噪音有点大，速度提升到50迈以上的时候，感觉车辆的隔音效果还需要加强，在小区内过减速带的时候，后轮的动静比较大。,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT 豪华版"",""price"":""13.58万"",""rating"":""缺点""}"
这一代的卡罗拉车身线条设计比上一代上了一个档次，美中不足的是车身的车漆感觉比较薄，可以看到我的车的左前脸已经被刮花了，是上一次拜访客户从车位上出来被人刮了。,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT 豪华版"",""price"":""13.58万"",""rating"":""外观""}"
直接来图吧，也不是特别丑哈哈哈，这颜值，我能接受,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT精英PLUS版"",""price"":""12.88万"",""rating"":""外观""}"
内饰真的一般！车里面满满的塑料感，特别是开了c级车之后，对比更加明显！,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT精英PLUS版"",""price"":""12.88万"",""rating"":""缺点""}"
外观小小的，适合新手，维修保养便宜，不需要操心。,"{""brand"": '丰田', ""model"": ""卡罗拉"", ""year"": ""2021款 1.2T S-CVT精英PLUS版"",""price"":""12.88万"",""rating"":""外观""}"
最满意，肯定是外观和动力，加上红旗品牌，毕竟是国货之光。上一辆车是昂克赛拉，动力太弱空间太小，异响太多所以才换车的，配置拉满确实6，主动刹车好评，启动过两次，太吓人了,"{""brand"": '红旗', ""model"": ""红旗HS5"", ""year"": ""2022款 改款 2.0T 智联旗享四驱版"",""price"":""21.38万"",""rating"":""优点""}"
异响异响异响！！！目前才开2000公里，驾驶位门板异响，特别是倾斜和坑洼路面，就感觉像是车身强度不够摩擦产生的异响一样，特别影响心情，忍受了昂克赛拉转身又忍受红旗，真是整个人都不好了。不过只要玻璃摇下去他又不响了，真是奇怪。副驾驶关门的时候会有很明显的胶条撞击声，无语～～排气管突突突跟三蹦子一样，防碰撞提醒太敏感，底盘比较硬，还有感觉上高速速度达到一百过后感觉驾驶位玻璃漏风？不知道是后视镜的风噪还是漏风，然后就是油耗，确实不吹不黑，油耗高，高速和市区平均油耗11个油左右，的确有点高，,"{""brand"": '红旗', ""model"": ""红旗HS5"", ""year"": ""2022款 改款 2.0T 智联旗享四驱版"",""price"":""21.38万"",""rating"":""缺点""}"
